date,date_key,year,month,day,quarter,day_of_week,day_name,month_name,is_weekend
2022-01-04 22:10:00,20220104,2022,1,4,1,1,Tuesday,January,False
2022-01-07 23:12:00,20220107,2022,1,7,1,4,Friday,January,False
2022-02-14 07:17:00,20220214,2022,2,14,1,0,Monday,February,False
2022-02-15 00:30:00,20220215,2022,2,15,1,1,Tuesday,February,False
2022-02-16 11:21:00,20220216,2022,2,16,1,2,Wednesday,February,False
2022-02-14 23:10:00,20220214,2022,2,14,1,0,Monday,February,False
2022-02-16 11:10:00,20220216,2022,2,16,1,2,Wednesday,February,False
2022-02-14 00:14:00,20220214,2022,2,14,1,0,Monday,February,False
2022-02-14 20:01:00,20220214,2022,2,14,1,0,Monday,February,False
2022-02-16 08:53:00,20220216,2022,2,16,1,2,Wednesday,February,False
2022-02-13 18:47:00,20220213,2022,2,13,1,6,Sunday,February,True
2022-02-15 21:18:00,20220215,2022,2,15,1,1,Tuesday,February,False
2022-02-15 17:54:00,20220215,2022,2,15,1,1,Tuesday,February,False
2022-02-15 16:06:00,20220215,2022,2,15,1,1,Tuesday,February,False
2022-02-14 10:50:00,20220214,2022,2,14,1,0,Monday,February,False
2022-02-15 21:33:00,20220215,2022,2,15,1,1,Tuesday,February,False
2022-02-15 22:27:00,20220215,2022,2,15,1,1,Tuesday,February,False
2022-02-14 17:19:00,20220214,2022,2,14,1,0,Monday,February,False
2022-02-16 18:13:00,20220216,2022,2,16,1,2,Wednesday,February,False
2022-02-16 16:57:00,20220216,2022,2,16,1,2,Wednesday,February,False
2022-02-17 23:43:00,20220217,2022,2,17,1,3,Thursday,February,False
2022-02-20 17:26:00,20220220,2022,2,20,1,6,Sunday,February,True
2022-02-14 18:00:00,20220214,2022,2,14,1,0,Monday,February,False
2022-02-14 13:07:00,20220214,2022,2,14,1,0,Monday,February,False
2022-02-22 11:52:00,20220222,2022,2,22,1,1,Tuesday,February,False
2022-02-21 21:14:00,20220221,2022,2,21,1,0,Monday,February,False
2022-02-23 11:18:00,20220223,2022,2,23,1,2,Wednesday,February,False
2022-02-27 15:30:00,20220227,2022,2,27,1,6,Sunday,February,True
2022-03-03 13:16:00,20220303,2022,3,3,1,3,Thursday,March,False
2022-03-03 13:21:00,20220303,2022,3,3,1,3,Thursday,March,False
2022-03-03 13:49:00,20220303,2022,3,3,1,3,Thursday,March,False
2022-03-03 13:51:00,20220303,2022,3,3,1,3,Thursday,March,False
2022-03-03 13:47:00,20220303,2022,3,3,1,3,Thursday,March,False
2022-03-03 13:30:00,20220303,2022,3,3,1,3,Thursday,March,False
2022-03-03 13:24:00,20220303,2022,3,3,1,3,Thursday,March,False
2022-03-03 14:21:00,20220303,2022,3,3,1,3,Thursday,March,False
2022-03-03 13:19:00,20220303,2022,3,3,1,3,Thursday,March,False
2022-03-03 13:20:00,20220303,2022,3,3,1,3,Thursday,March,False
2022-03-03 13:29:00,20220303,2022,3,3,1,3,Thursday,March,False
2022-03-05 15:08:00,20220305,2022,3,5,1,5,Saturday,March,True
2022-03-03 15:00:00,20220303,2022,3,3,1,3,Thursday,March,False
2022-03-03 13:23:00,20220303,2022,3,3,1,3,Thursday,March,False
2022-03-05 14:09:00,20220305,2022,3,5,1,5,Saturday,March,True
2022-03-03 13:55:00,20220303,2022,3,3,1,3,Thursday,March,False
2022-03-03 15:25:00,20220303,2022,3,3,1,3,Thursday,March,False
2022-03-03 13:18:00,20220303,2022,3,3,1,3,Thursday,March,False
2022-03-03 15:40:00,20220303,2022,3,3,1,3,Thursday,March,False
2022-03-03 15:02:00,20220303,2022,3,3,1,3,Thursday,March,False
2022-03-03 13:43:00,20220303,2022,3,3,1,3,Thursday,March,False
2022-03-03 17:07:00,20220303,2022,3,3,1,3,Thursday,March,False
2022-03-26 18:28:00,20220326,2022,3,26,1,5,Saturday,March,True
2022-03-28 08:38:00,20220328,2022,3,28,1,0,Monday,March,False
2022-03-29 20:41:00,20220329,2022,3,29,1,1,Tuesday,March,False
2022-03-29 12:45:00,20220329,2022,3,29,1,1,Tuesday,March,False
2022-03-26 22:50:00,20220326,2022,3,26,1,5,Saturday,March,True
2022-03-31 00:24:00,20220331,2022,3,31,1,3,Thursday,March,False
2022-03-30 19:03:00,20220330,2022,3,30,1,2,Wednesday,March,False
2022-03-30 23:05:00,20220330,2022,3,30,1,2,Wednesday,March,False
2022-03-29 18:34:00,20220329,2022,3,29,1,1,Tuesday,March,False
2022-03-31 18:49:00,20220331,2022,3,31,1,3,Thursday,March,False
2022-03-30 04:49:00,20220330,2022,3,30,1,2,Wednesday,March,False
2022-03-30 11:18:00,20220330,2022,3,30,1,2,Wednesday,March,False
2022-03-27 20:14:00,20220327,2022,3,27,1,6,Sunday,March,True
2022-03-27 23:21:00,20220327,2022,3,27,1,6,Sunday,March,True
2022-03-29 17:39:00,20220329,2022,3,29,1,1,Tuesday,March,False
