product_sku,product_name,variant_sku,variant_name,product_id
,Tổng hợp đồ Jujutsu kaisen chính hãng nhật bản,,Badge megumi,1
,Tổng hợp đồ Jujutsu kaisen chính hãng nhật bản,,Badge nanami,2
,Tổng hợp đồ Jujutsu kaisen chính hãng nhật bản,,Keychain arcylictoge,3
,[SALE]Tổng hợp đồ kimetsu no yaiba giyuu chính hãng,,Badge(1),4
,[SALE]Tổng hợp đồ kimetsu no yaiba giyuu chính hãng,,Badge(2),5
,Thẻ anime jujutsu kaisen các nhân vật kèm sleeve dày,,Lẻ card,6
,Thẻ metal card nhân vật trong Tokyo Revengers,,naoto,7
,Thẻ nhân phẩm metal card Tokyo Revengers ver 2,,,8
,Tổng hợp đồ Jujutsu kaisen chính hãng nhật bản,,Combo 2,9
,Card 5 nàng dâu trong bánh xốp vol 2,,Set 4c,10
,Card 5 nàng dâu trong bánh xốp vol 2,,Set itsuki,11
,Tổng hợp đồ Jujutsu kaisen chính hãng nhật bản,,Combo 1,12
,Pack bánh nhân phẩm Re:Zero chính hãng,,,13
,Card 5 nàng dâu trong bánh xốp vol 2,,Set miku,14
,Card 5 nàng dâu trong bánh xốp vol 2,,Set nino,15
,Card 5 nàng dâu trong bánh xốp vol 2,,Set yotsuba,16
,Hàng gacha nhân vật miku 5gotoubun,,Clearfile,17
,Hàng gacha nhân vật miku 5gotoubun,,Artboard,18
,Thẻ nhân phẩm metal mha mẫu 4,,,19
,Thẻ nhân phẩm metal attack on titan,,,20
,[Hàng Sẵn]Thẻ nhân phẩm metal mha mẫu 4,,,21
,[Hàng Sẵn] Thẻ nhân phẩm metal attack on titan,,,22
,[Hàng Sẵn] 1 Box Thẻ metal tokyo revengers,,,23
,Giá đỡ trưng bày để ảnh khung tranh ảnh poscard,,,24
,[SALE 4.4]Thẻ metal tokyo revengers,,,25
,Neon collection 4 nhân vật mha,,Baku,26
,Tổng Hợp các loại card MHA,,24,27
,Thẻ anime jujutsu kaisen các nhân vật,,SET 3,28
,Tổng Hợp các loại card MHA,,21,29
,Thẻ polaroid Tokyo revengers,,Mikey,30
,Tổng Hợp các loại card MHA,,22,31
,combo thẻ nhân vật shoto mha,,,32
,Thẻ polaroid Tokyo revengers,,Mitsuya,33
,Tổng Hợp các loại card MHA,,3,34
,Tổng Hợp các loại card MHA,,12,35
,Tổng Hợp các loại card MHA,,6,36
,Thẻ anime jujutsu kaisen các nhân vật,,SET 4,37
,Tổng Hợp các loại card MHA,,4,38
,Tổng Hợp các loại card MHA,,18,39
,Neon collection 4 nhân vật mha,,Ochako,40
,Neon collection 4 nhân vật mha,,Jiro,41
,Tổng Hợp các loại card MHA,,5,42
,Neon collection 4 nhân vật mha,,Kiri,43
,Tổng Hợp các loại card MHA,,13,44
,Tổng Hợp các loại card MHA,,8,45
,Tổng Hợp các loại card MHA,,1,46
,Tổng Hợp các loại card MHA,,14,47
,Tổng Hợp các loại card MHA,,10,48
,Thẻ anime jujutsu kaisen các nhân vật,,SET 2,49
,Tổng Hợp các loại card MHA,,2,50
,Tổng Hợp các loại card MHA,,11,51
,Thẻ anime jujutsu kaisen các nhân vật,,SET 1,52
,Thẻ polaroid Tokyo revengers,,Chifuyu,53
,Tổng Hợp các loại card MHA,,15,54
,Tổng Hợp các loại card MHA,,23,55
,Thẻ nhân phẩm pack Spyxfamily(CODBILL đọc kĩ mô tả trước khi mua),,,56
